Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
230.0,1627.081,9.32207847,286674000.0,4169986000.0,4.104357e+26,4.371197,26.31388,8.727883,0.9999999696,-7.516844,711900600.0,-9.99986,-1.999885,-0.305396,-0.305396,1.3
262.0,1629.4416,8.20715419,759325100.0,12641850000.0,2.896294e+27,5.039801,23.62453,6.799197,0.9963282875,-2.435131,9748835000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.7
242.0,1630.8273,8.35498311,684714100.0,11843440000.0,2.363102e+27,4.955773,23.9631,7.030697,0.9992346576,-3.116144,2170277000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.8
239.0,1632.3899,8.42848891,648516200.0,11391750000.0,2.127988e+27,4.914182,24.13411,7.149236,0.9996505699,-3.45664,1129790000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.85
231.0,1635.5161,8.9239923,426391500.0,7245606000.0,9.26976e+26,4.603469,25.3289,8.002551,0.999999145,-6.068017,16456200000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
208.0,1636.0041,7.59040422,1092164000.0,14422840000.0,6.088986e+27,5.392612,22.27681,5.918787,0.98939381,-1.974441,5127088000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.35
232.0,1637.5576,8.65709355,540641100.0,9616092000.0,1.49774e+27,4.780572,24.67707,7.532087,0.9999747632,-4.597966,175848400000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.0
262.0,1638.3963,8.05332759,839204200.0,13082780000.0,3.616123e+27,5.132199,23.27946,6.567679,0.9915781192,-2.074591,57614480000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.6
258.0,1639.392,7.97213256,882207800.0,13319220000.0,4.005945e+27,5.178369,23.10002,6.449052,0.9911805978,-2.054561,135862500000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.55
220.0,1640.4707,7.69786518,1031699000.0,14190680000.0,5.493035e+27,5.333086,22.50562,6.064016,0.9898718684,-1.994471,1974748000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.4
228.0,1645.1496,8.82763218,465946500.0,8083873000.0,1.13325e+27,4.676286,25.09186,7.830333,0.9999968114,-5.496399,43843940000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.1
186.0,1645.7209,7.33237618,1242332000.0,14306940000.0,8.067374e+27,5.55045,21.73417,5.579793,0.9888931867,-1.954411,5.545457e+16,-9.99986,-1.999885,-0.305396,-0.305396,0.25
263.0,1646.6558,8.13136959,798413200.0,12823300000.0,3.339633e+27,5.092596,23.45366,6.684006,0.9929969232,-2.154711,27233610000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.65
245.0,1647.6501,7.88674839,928039800.0,13551100000.0,4.522986e+27,5.230378,22.91316,6.326713,0.990764313,-2.034531,344875500000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.5
232.0,1652.6234,8.5785778,576804600.0,10262720000.0,1.768418e+27,4.838658,24.4888,7.398284,0.9999271463,-4.137548,387084800000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.95
192.0,1653.1504,7.47019964,1161226000.0,14416150000.0,7.176532e+27,5.471333,22.02305,5.759368,0.98939381,-1.974441,1.733487e+16,-9.99986,-1.999885,-0.305396,-0.305396,0.3
254.0,1659.1512,8.28143965,721550300.0,12301500000.0,2.811313e+27,5.014005,23.79379,6.914405,0.9979840509,-2.69552,5875751000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.75
231.0,1659.8514,8.73950966,503843500.0,8876620000.0,1.373094e+27,4.743293,24.87663,7.675052,0.9999889837,-4.957964,107839300000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.05
228.0,1661.6559,9.03261018,384362800.0,6302599000.0,8.025629e+26,4.551465,25.59746,8.199,0.9999997252,-6.560938,8229937000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.2
225.0,1661.9424,9.16056338,338554900.0,5272317000.0,6.230948e+26,4.47336,25.91458,8.43236,0.9999999257,-7.129106,2863008000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.25
232.0,1664.0171,7.79587563,977516800.0,13764760000.0,5.220494e+27,5.289823,22.71618,6.199088,0.990328379,-2.014501,960036800000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.45
261.0,1666.1338,8.20714808,759330400.0,12548980000.0,3.166161e+27,5.060092,23.62453,6.799197,0.9953759913,-2.334981,14042730000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.7
230.0,1668.5608,8.92399568,426389900.0,7243686000.0,1.004185e+27,4.628601,25.3289,8.002551,0.9999988285,-5.931246,23304920000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
235.0,1672.33,8.50273477,612646100.0,10802560000.0,2.091892e+27,4.89473,24.30867,7.271267,0.9998081359,-3.717006,853620200000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.9
261.0,1674.0989,8.05331986,839211700.0,12974320000.0,3.941844e+27,5.151347,23.27946,6.567679,0.9915781192,-2.074591,80666550000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.6
231.0,1677.9168,8.6570709,540655200.0,9605894000.0,1.651028e+27,4.806929,24.67707,7.532087,0.9999651559,-4.457871,254437000000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.0
257.0,1680.1207,7.9721224,882218100.0,13181560000.0,4.419222e+27,5.199603,23.10002,6.449052,0.990764313,-2.034531,196416300000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.55
238.0,1680.2712,8.42848469,648519300.0,11354310000.0,2.388886e+27,4.942075,24.13411,7.149236,0.9995391775,-3.336466,1734566000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.85
207.0,1680.3317,7.59037041,1092206000.0,14068400000.0,6.776747e+27,5.415143,22.2768,5.918784,0.98939381,-1.974441,7382214000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.35
262.0,1680.7782,8.13136403,798418300.0,12727770000.0,3.625222e+27,5.110962,23.45366,6.684006,0.992666371,-2.134681,37524420000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.65
241.0,1681.2085,8.35497699,684718900.0,11786750000.0,2.668965e+27,4.984528,23.9631,7.030697,0.9989430298,-2.975937,3455304000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.8
227.0,1681.8338,8.82763411,465945500.0,8080200000.0,1.237755e+27,4.701935,25.09186,7.830333,0.9999956057,-5.357108,62576040000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.1
229.0,1683.0112,9.32208113,286673100.0,4169636000.0,4.698442e+26,4.404933,26.31388,8.727883,0.9999999661,-7.469549,1134667000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.3
219.0,1683.104,7.69784644,1031722000.0,13902450000.0,6.086968e+27,5.35503,22.50562,6.064017,0.9898718684,-1.994471,2832350000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.4
244.0,1689.7853,7.8867341,928055100.0,13373460000.0,5.003866e+27,5.251987,22.91316,6.326713,0.990328379,-2.014501,498461300000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.5
185.0,1689.8618,7.33230318,1242437000.0,13828290000.0,8.969851e+27,5.573825,21.73414,5.579772,0.9888931867,-1.954411,7.970219e+16,-9.99986,-1.999885,-0.305396,-0.305396,0.25
253.0,1697.5254,8.28143573,721553600.0,12234280000.0,3.080593e+27,5.035077,23.79379,6.914405,0.9974611967,-2.595371,8447064000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.75
231.0,1697.5261,8.578575,576806500.0,10245830000.0,1.968603e+27,4.865548,24.4888,7.398284,0.9999039279,-4.017403,569214500000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.95
191.0,1698.1305,7.47015689,1161283000.0,13997210000.0,7.990836e+27,5.494224,22.02305,5.759365,0.98939381,-1.974441,2.491783e+16,-9.99986,-1.999885,-0.305396,-0.305396,0.3
230.0,1699.872,8.73950453,503846400.0,8869937000.0,1.510404e+27,4.769648,24.87663,7.675052,0.9999847952,-4.818019,155669900000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.05
229.0,1702.7848,8.92400128,426387100.0,7241527000.0,1.089129e+27,4.654068,25.3289,8.002551,0.9999983914,-5.793543,33161250000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
260.0,1703.7103,8.20713996,759337500.0,12454840000.0,3.461662e+27,5.080256,23.62453,6.799197,0.9944391816,-2.254861,20182830000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.7
231.0,1707.9589,7.79585784,977536900.0,13535090000.0,5.794392e+27,5.311934,22.71618,6.199087,0.990328379,-2.014501,1389693000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.45
